relative path	file type	size	ownership classification	generated/vendor/cache/source status	responsible subsystem	audit status	action taken	validation status	notes
.agents	directory	40	project-owned	source container	.agents	pending	none yet	pending	directory inventory entry
.codex	directory	40	project-owned	source container	.codex	pending	none yet	pending	directory inventory entry
.git	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/branches	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/hooks	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/info	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/logs	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/logs/refs	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/logs/refs/heads	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/logs/refs/heads/codex	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/00	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/01	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/02	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/03	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/04	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/06	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/07	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/08	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/09	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/0a	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/0b	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/0c	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/0f	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/10	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/11	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/12	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/13	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/14	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/15	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/16	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/18	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/1a	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/1b	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/1c	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/1d	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/1f	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/20	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/21	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/22	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/23	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/24	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/25	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/28	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/29	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/2a	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/2d	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/2e	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/2f	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/31	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/32	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/34	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/35	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/36	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/37	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/39	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/3a	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/3b	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/3e	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/3f	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/40	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/42	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/43	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/44	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/45	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/46	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/47	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/48	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/49	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/4a	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/4b	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/4c	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/4d	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/4e	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/4f	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/52	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/53	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/54	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/55	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/56	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/57	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/58	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/5a	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/5b	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/5c	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/5d	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/5f	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/60	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/61	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/62	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/66	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/67	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/68	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/69	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/6a	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/6b	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/6d	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/6f	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/70	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/73	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/75	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/76	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/77	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/79	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/7b	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/7c	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/7d	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/82	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/84	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/85	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/87	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/88	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/89	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/8c	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/8e	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/8f	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/92	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/93	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/94	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/96	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/97	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/98	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/99	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/9a	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/9b	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/9c	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/9e	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/9f	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/a6	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/a7	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/a8	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/a9	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/ab	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/ac	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/ad	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/ae	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/af	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/b0	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/b1	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/b2	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/b3	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/b4	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/b5	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/b6	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/b7	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/b8	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/b9	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/bc	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/bd	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/be	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/bf	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/c1	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/c2	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/c3	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/c4	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/c5	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/c6	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/c7	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/c8	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/c9	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/cc	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/cd	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/ce	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/cf	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/d1	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/d2	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/d4	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/d7	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/d8	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/d9	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/da	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/dc	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/df	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/e0	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/e1	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/e2	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/e3	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/e4	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/e5	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/e6	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/e7	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/e8	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/ea	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/eb	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/ec	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
